"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Amazon Website E2E testing","4","0","","0"
"0","","0","Product Adding to the cart","10","0","","0"
"0","","0","Product Adding to the Cart","6","0","","0"
"0","","0","Dropdown Selection","1","0","","0"
"0","","0","Prime Product Selection","1","0","","0"
"0","","0","Search Functionality","1","0","","0"
"0","","0","Cart Management","1","0","","0"
"0","","1","Amazon Prime Product Selection","0","0","","0"
"0","","0","Launch Page","1","0","","0"
"0","","1","Product Adding to the cart and Deleting from the cart","0","0","","0"
"0","","0","Cart Functionality","1","0","","0"
