"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7165","Searching Product","","Mon Mar 03 22:33:22 IST 2025","passed","Mon Mar 03 22:33:29 IST 2025","","Amazon Website E2E testing","",""
"","384","Check Electronics is selected from the dropdown","","Wed Mar 05 08:20:56 IST 2025","passed","Wed Mar 05 08:20:56 IST 2025","","Product Adding to the cart","",""
"","385","Check Electronics is selected from the dropdown","","Tue Mar 04 20:56:45 IST 2025","passed","Tue Mar 04 20:56:45 IST 2025","","Product Adding to the Cart","",""
"","7541","Select the first product with Prime tag","","Tue Mar 04 20:56:49 IST 2025","passed","Tue Mar 04 20:56:57 IST 2025","","Product Adding to the Cart","",""
"","2342","Check product can be deleted from the cart and naviagte back to the home page","","Wed Mar 05 08:21:11 IST 2025","passed","Wed Mar 05 08:21:13 IST 2025","","Product Adding to the cart","",""
"","3796","Check Url is launched","","Wed Mar 05 08:20:52 IST 2025","passed","Wed Mar 05 08:20:56 IST 2025","","Product Adding to the cart","",""
"","7813","Find first product with Amazon Prime label and adding to cart","","Mon Mar 03 22:33:29 IST 2025","passed","Mon Mar 03 22:33:37 IST 2025","","Amazon Website E2E testing","",""
"","27422","Check a product with tag prime is added to the cart","","Tue Mar 04 10:05:47 IST 2025","passed","Tue Mar 04 10:06:15 IST 2025","","Product Adding to the cart","",""
"","8808","Selecting the search dropdown box and clicking the electronics option from dropdown","","Mon Mar 03 22:33:13 IST 2025","passed","Mon Mar 03 22:33:22 IST 2025","","Amazon Website E2E testing","",""
"","4071","Search the product","","Tue Mar 04 20:56:45 IST 2025","passed","Tue Mar 04 20:56:49 IST 2025","","Product Adding to the Cart","",""
"","2330","Check product can be deleted from the cart and navigate back to the home page","","Tue Mar 04 20:57:00 IST 2025","passed","Tue Mar 04 20:57:02 IST 2025","","Product Adding to the Cart","",""
"","2572","check Amazon Website page is launched","","Mon Mar 03 22:33:10 IST 2025","passed","Mon Mar 03 22:33:13 IST 2025","","Amazon Website E2E testing","",""
"","7600","Select the first product with prime tag","","Wed Mar 05 08:21:00 IST 2025","passed","Wed Mar 05 08:21:08 IST 2025","","Product Adding to the cart","",""
"","3776","Search the product","","Wed Mar 05 08:20:56 IST 2025","passed","Wed Mar 05 08:21:00 IST 2025","","Product Adding to the cart","",""
"","2824","Check Product is added to cart","","Wed Mar 05 08:21:08 IST 2025","passed","Wed Mar 05 08:21:11 IST 2025","","Product Adding to the cart","",""
"","19939","should find the first Prime-tagged product and add it to the cart","","Mon Mar 03 21:25:12 IST 2025","failed","Mon Mar 03 21:25:32 IST 2025","","Amazon Prime Product Selection","",""
"","1157","Check product can be deleted from the cart","","Tue Mar 04 17:55:26 IST 2025","passed","Tue Mar 04 17:55:28 IST 2025","","Product Adding to the cart","",""
"","4652","Check Electronics is selected from the dropsown","","Tue Mar 04 17:55:06 IST 2025","passed","Tue Mar 04 17:55:11 IST 2025","","Product Adding to the cart","",""
"","4061","Check URL is launched","","Tue Mar 04 20:56:41 IST 2025","passed","Tue Mar 04 20:56:45 IST 2025","","Product Adding to the Cart","",""
"","16294","should add a product to the cart and delete it","","Mon Mar 03 21:03:32 IST 2025","failed","Mon Mar 03 21:03:48 IST 2025","","Product Adding to the cart and Deleting from the cart","",""
"","2855","Check product is added to cart","","Tue Mar 04 20:56:57 IST 2025","passed","Tue Mar 04 20:57:00 IST 2025","","Product Adding to the Cart","",""
"","8673","Check a product with tag prime is added to the cart","","Mon Mar 03 16:38:23 IST 2025","passed","Mon Mar 03 16:38:32 IST 2025","","Product Adding to the cart","",""
